[INFO] Initialisiere YOLO Detektor (yolov8n.pt)...
Erfolgreich mit PostgreSQL verbunden (localhost:5432)
Datenbanktabellen erstellt/überprüft

================================================================================
[SYSTEM] LIVE-PERSONENERKENNUNG GESTARTET
================================================================================
  Modell: Ultralytics YOLO vv8
  Ordner X: input_x
  Ordner Y: input_y
  Poll-Intervall: 0.5s
================================================================================

[INFO] Warte auf neue Bilder...

[0244] 21:56:29.717 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0245] 21:56:30.470 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0246] 21:56:31.227 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0247] 21:56:31.980 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0248] 21:56:32.733 | input_y    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0249] 21:56:35.587 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0250] 21:56:36.347 | input_x    |  0 Pers | Conf: 0.000 | 0.044s [OK]
[0251] 21:56:37.116 | input_x    |  0 Pers | Conf: 0.000 | 0.055s [OK]
[0252] 21:56:37.889 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0253] 21:56:38.644 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0254] 21:56:39.396 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0255] 21:56:40.148 | input_y    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0256] 21:56:40.901 | input_y    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0257] 21:56:41.658 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0258] 21:56:41.909 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0259] 21:56:44.766 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0260] 21:56:45.019 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0261] 21:56:45.771 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0262] 21:56:46.534 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0263] 21:56:46.793 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0264] 21:56:47.541 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0265] 21:56:48.297 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0266] 21:56:49.053 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0267] 21:56:49.805 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0268] 21:56:50.561 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0269] 21:56:52.819 | input_x    |  0 Pers | Conf: 0.000 | 0.050s [OK]
[0270] 21:56:53.591 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0271] 21:56:54.346 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0272] 21:56:55.101 | input_x    |  0 Pers | Conf: 0.000 | 0.042s [OK]
[0273] 21:56:55.859 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0274] 21:56:56.608 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0275] 21:56:57.357 | input_y    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0276] 21:56:58.105 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0277] 21:56:58.857 | input_y    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0278] 21:56:59.601 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0279] 21:57:02.355 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0280] 21:57:03.111 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0281] 21:57:03.868 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0282] 21:57:04.616 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0283] 21:57:05.370 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0284] 21:57:05.618 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0285] 21:57:06.366 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0286] 21:57:07.116 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0287] 21:57:07.869 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0288] 21:57:08.121 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0289] 21:57:10.980 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0290] 21:57:11.239 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
